type,vertex_count,block_count,eigenvector_fp,eigenvector_energy,half_fp,half_energy
SBM,150,3,1,0.22407158836689037,0,0.22389261744966443
SBM,150,5,0,0.20975391498881432,1,0.21387024608501118
SBM,50,2,0,0.21224489795918366,3,0.20244897959183675
SBM,50,3,3,0.17553191489361702,1,0.18085106382978725
SBM,50,5,1,0.17142857142857143,3,0.17142857142857143
SBM,100,2,5,0.23353535353535354,3,0.23474747474747476
SBM,100,3,1,0.21521335807050093,1,0.20944135229849514
SBM,100,5,2,0.19797979797979798,1,0.19555555555555557
SBM,150,2,1,0.2593288590604027,0,0.2593288590604027
SBM,150,3,0,0.22854586129753915,0,0.22299776286353468
SBM,150,5,0,0.2086800894854586,1,0.21404921700223714
SBM,50,2,0,0.20244897959183675,0,0.2073469387755102
SBM,50,3,5,0.1773049645390071,24,0.1453900709219858
SBM,50,5,2,0.13877551020408163,0,0.1306122448979592
SBM,100,2,0,0.23030303030303031,9,0.23232323232323232
SBM,100,3,0,0.238301381158524,1,0.21727478870336014
SBM,100,5,0,0.2016161616161616,2,0.19838383838383838
SBM,150,2,1,0.26487695749440715,0,0.26666666666666666
SBM,150,3,1,0.2287248322147651,8,0.26272930648769577
SBM,150,5,0,0.21100671140939598,1,0.21583892617449665
SBM,50,2,2,0.21714285714285714,0,0.19918367346938776
