type,vertex_count,edge_density,new_fp,new_energy,half_fp,half_energy,zero_fp,zero_energy
ER,20,0.2,3,0.06315789473684211,8,0.031578947368421054,0,0.10526315789473684
ER,20,0.3,5,0.16842105263157894,3,0.15789473684210525,0,0.18947368421052632
ER,20,0.4,6,0.21052631578947367,2,0.15789473684210525,0,0.22105263157894736
ER,20,0.5,6,0.30526315789473685,6,0.14736842105263157,0,0.23157894736842105
ER,50,0.1,1,0.08816326530612245,2,0.09306122448979592,0,0.08979591836734693
ER,50,0.2,0,0.16979591836734695,0,0.18285714285714286,0,0.17469387755102042
ER,50,0.3,1,0.25795918367346937,7,0.2563265306122449,0,0.25795918367346937
ER,50,0.4,0,0.2922448979591837,2,0.3020408163265306,0,0.3053061224489796
ER,50,0.5,0,0.31673469387755104,1,0.3183673469387755,0,0.32816326530612244
ER,100,0.1,1,0.11191919191919192,0,0.11313131313131314,0,0.11393939393939394
ER,100,0.2,0,0.21777777777777776,0,0.22262626262626262,0,0.22181818181818183
ER,100,0.3,2,0.2965656565656566,1,0.2997979797979798,0,0.30626262626262624
ER,100,0.4,0,0.3482828282828283,1,0.3507070707070707,0,0.3490909090909091
ER,100,0.5,5,0.3660606060606061,3,0.3624242424242424,0,0.36323232323232324
ER,20,0.1,2,0.042105263157894736,1,0.06315789473684211,0,0.06315789473684211
ER,20,0.2,2,0.09473684210526316,0,0.10526315789473684,0,0.09473684210526316
ER,20,0.3,1,0.14736842105263157,2,0.17894736842105263,0,0.2
ER,20,0.4,3,0.21052631578947367,2,0.21052631578947367,0,0.18947368421052632
ER,20,0.5,6,0.23157894736842105,10,0.2,0,0.24210526315789474
ER,50,0.1,2,0.09795918367346938,3,0.09795918367346938,0,0.0963265306122449
ER,50,0.2,0,0.18612244897959185,0,0.18285714285714286,0,0.1730612244897959
ER,50,0.3,2,0.24816326530612245,1,0.24489795918367346,0,0.2530612244897959
ER,50,0.4,1,0.31673469387755104,4,0.29061224489795917,0,0.2987755102040816
ER,50,0.5,3,0.3053061224489796,0,0.31020408163265306,0,0.31510204081632653
ER,100,0.1,1,0.10626262626262627,0,0.10747474747474747,0,0.10585858585858586
ER,100,0.2,0,0.2222222222222222,1,0.21777777777777776,0,0.2193939393939394
ER,100,0.3,0,0.3107070707070707,1,0.3103030303030303,0,0.31393939393939396
ER,100,0.4,0,0.3519191919191919,0,0.3466666666666667,0,0.35353535353535354
ER,100,0.5,0,0.35878787878787877,3,0.3604040404040404,0,0.36363636363636365
ER,20,0.1,2,0.05263157894736842,9,0.021052631578947368,0,0.06315789473684211
ER,20,0.2,2,0.11578947368421053,8,0.10526315789473684,0,0.15789473684210525
ER,20,0.3,5,0.2,1,0.2,0,0.21052631578947367
ER,20,0.4,0,0.22105263157894736,1,0.23157894736842105,0,0.25263157894736843
ER,20,0.5,1,0.24210526315789474,3,0.23157894736842105,0,0.21052631578947367
ER,50,0.1,1,0.07510204081632653,9,0.06693877551020408,0,0.07673469387755102
ER,50,0.2,2,0.1730612244897959,2,0.16489795918367348,0,0.16653061224489796
ER,50,0.3,2,0.2546938775510204,0,0.26448979591836735,0,0.25795918367346937
ER,50,0.4,1,0.3004081632653061,0,0.3069387755102041,0,0.29551020408163264
ER,50,0.5,0,0.31673469387755104,1,0.32,0,0.313469387755102
ER,100,0.1,5,0.10787878787878788,2,0.10343434343434343,0,0.11151515151515151
ER,100,0.2,2,0.22828282828282828,0,0.23353535353535354,0,0.23313131313131313
ER,100,0.3,1,0.29414141414141415,0,0.29858585858585857,0,0.2973737373737374
ER,100,0.4,1,0.3503030303030303,0,0.3466666666666667,0,0.3486868686868687
ER,100,0.5,1,0.36282828282828283,2,0.36646464646464644,0,0.3624242424242424
ER,20,0.1,2,0.05263157894736842,4,0.031578947368421054,0,0.05263157894736842
ER,20,0.2,1,0.12631578947368421,1,0.12631578947368421,0,0.1368421052631579
ER,20,0.3,2,0.1368421052631579,2,0.16842105263157894,0,0.17894736842105263
